performance,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,duration,lifetime_gross,nrOfNewsArticles,nrOfNominations,nrOfPhotos,nrOfUserReviews,nrOfWins,ratingCount,ratingInteger,title,year
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9480,40222514,2075,58,65,1053,74,272992,8,THERE WILL BE BLOOD,2007
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7320,74283625,3101,51,61,1416,110,434032,8,NO COUNTRY FOR OLD MEN,2007
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7800,53089891,796,17,57,1011,4,555345,9,THE PRESTIGE,2006
Success,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8880,18354356,880,43,67,683,18,292747,8,INTO THE WILD,2007
Success,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7620,257730019,15161,47,201,1499,19,401744,8,STAR TREK,2009
Success,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5880,217581231,3545,32,51,414,19,285643,8,HOW TO TRAIN YOUR DRAGON,2010
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6480,106954678,10527,125,119,1057,57,413273,8,BLACK SWAN,2010
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,1223869,325,15,2,261,13,48238,9,TAARE ZAMEEN PAR,2007
Success,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,116900694,3597,62,73,779,17,285401,8,THE WOLF OF WALL STREET,2013
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7200,141319928,6741,62,27,972,114,470400,8,SLUMDOG MILLIONAIRE,2008
Success,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760,293004164,2379,37,68,644,53,425870,8,UP,2009
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8280,128012934,3907,27,56,884,4,495936,8,SHUTTER ISLAND,2010
Success,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9660,258366855,3179,40,89,777,3,239935,8,THE HOBBIT: THE DESOLATION OF SMAUG,2013
Success,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10200,6532874,10,13,20,267,20,103975,9,3 IDIOTS,2009
Success,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7800,381011219,2708,49,217,754,33,346862,8,HARRY POTTER AND THE DEATHLY HALLOWS: PART 2,2011
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6960,148095302,1349,8,62,815,20,405722,8,GRAN TORINO,2008
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8400,13657115,1903,10,44,432,2,220357,8,WARRIOR,2011
Success,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9900,448139099,22240,64,131,2576,28,758626,9,THE DARK KNIGHT RISES,2012
Success,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8880,292576195,10101,110,135,2450,83,942259,9,INCEPTION,2010
Success,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9180,61002302,1558,15,57,445,6,184698,8,PRISONERS,2013
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8760,169708112,4565,68,67,391,46,220355,8,THE HELP,2011
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5460,274092705,4911,75,79,1556,104,341562,8,GRAVITY,2013
Success,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,257760692,1651,0,42,225,1,52708,8,THE LEGO MOVIE,2014
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7080,138797449,5060,104,27,592,86,325645,8,THE KING'S SPEECH,2010
Success,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7560,25568251,2297,58,63,389,42,98365,8,HER,2013
Success,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9900,162805434,7971,58,108,1012,36,568296,9,DJANGO UNCHAINED,2012
Success,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7380,26947624,1573,33,51,352,4,142959,8,RUSH,2013
Success,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8040,56671993,351,137,88,455,131,161237,8,12 YEARS A SLAVE,2013
Fail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7680,27634716,176,16,22,148,8,28857,7,MURDER ON THE ORIENT EXPRESS,1974
